doc,aid,journal,year,authors,title
587,10.2307/2061635,Demography,1987,James McCarthy,Desired Family Size and Its Determinants Among Urban Nigerian Women: A Two-Stage Analysis
588,10.2307/2173486,Population Studies,1977,Gavin W. Jones,Fertility Levels and Trends in Indonesia
589,10.2307/3088341,Demography,2002,Dawn M. Upchurch,Nonmarital Childbearing: Influences of Education_ Marriage_ and Fertility
590,10.2307/2137551,Population and Development Review,1997,,Population in India's First-Year Plan (1951-56)
591,10.2307/2952471,Population Studies,1997,Wendy Post,Reconstructing the Extended Kin-Network in the Netherlands with Genealogical Data: Methods_ Problems_ and Results
592,10.2307/25434752,Population and Development Review,2008,,The European Pact on Immigration on the Control of Illegal Immigration
593,10.2307/2173722,Population Studies,1978,Ph. Van Praag,The Development of Neo-Malthusianism in Flanders
594,10.2307/2137662,Population and Development Review,1994,Vaino Kannisto,Reductions in Mortality at Advanced Ages: Several Decades of Evidence from 27 Countries
595,10.2307/172315,Population and Development Review,2000,Philippe Fargues,Protracted National Conflict and Fertility Change: Palestinians and Israelis in the Twentieth Century
596,10.2307/2172926,Population Studies,1967,Peter A. Lachenbruch,Frequency and Timing of Intercourse: Its Relation to the Probability of Conception
597,10.2307/2061906,Demography,1994,Rosemary Santana Cooney,Household Registration Type and Compliance with the "One Child" Policy in China_ 1979-1988
598,10.2307/1973679,Population and Development Review,1992,Pavalavalli Govindasamy,Ethnicity and Fertility Differentials in Peninsular Malaysia: Do Policies Matter?
599,10.2307/2061452,Demography,1990,Michael A. Koenig,Birth Intervals and Childhood Mortality in Rural Bangladesh
600,10.2307/1515160,Demography,2003,Frances K. Goldscheider,The Racial Crossover in Family Complexity in the United States
601,10.2307/2174056,Population Studies,1982,D. C. Ewbank,The Sources of Error in Brass's Method for Estimating Child Survival: The Case of Bangladesh
602,10.2307/2137498,Population and Development Review,1995,Emma Rothschild,Echoes of the Malthusian Debate at the Population Summit
603,10.2307/1973624,Population and Development Review,1988,Dennis Hodgson,Orthodoxy and Revisionism in American Demography
604,10.2307/2173372,Population Studies,1977,J. M. Martin,Marriage and Economic Stress in the Felden of Warwickshire During the Eighteenth Century
605,10.2307/2061675,Demography,1995,Sharon Sassler,Trade-Offs in the Family: Sibling Effects on Daughters' Activities in 1910
606,10.2307/40800833,Demography,2010,GARY R. SKOOG,MEASURING YEARS OF INACTIVITY_ YEARS IN RETIREMENT_ TIME TO RETIREMENT_ AND AGE AT RETIREMENT WITHIN THE MARKOV MODEL
607,10.2307/25434705,Population and Development Review,2008,Ilana Redstone Akresh,Occupational Trajectories of Legal US Immigrants: Downgrading and Recovery
608,10.2307/40800840,Demography,2010,MICHAEL J. ROSENFELD,NONTRADITIONAL FAMILIES AND CHILDHOOD PROGRESS THROUGH SCHOOL
609,10.2307/2061852,Demography,1992,Bert Kestenbaum,A Description of the Extreme Aged Population Based on Improved Medicare Enrollment Data
610,10.2307/2807922,Population and Development Review,1989,Amartya Sen,Cooperation_ Inequality_ and the Family
611,10.2307/2584812,Population Studies,1999,Oystein Kravdal,Does Marriage Require a Stronger Economic Underpinning than Informal Cohabitation?
612,10.2307/2173239,Population Studies,1969,H. Leridon,Some Comments on Article by K. Srinivasan: `A Probability Model Applicable to the Study of Inter-Live Birth Intervals and Random Segments of the Same'
613,10.2307/2061766,Demography,1996,Fred C. Pampel,Cohort Size and Age-Specific Suicide Rates: A Contingent Relationship
614,10.2307/2172276,Population Studies,1956,J. R. L. Schneider,Local Population Projections in England and Wales
615,10.2307/1971888,Population and Development Review,1977,Harvey Leibenstein,Beyond Economic Man: Economics_ Politics_ and the Population Problem
616,10.2307/2175182,Population Studies,1980,R. D. Lee,Aiming at a Moving Target: Period Fertility and Changing Reproductive Goals
617,10.2307/4137209,Demography,2006,Samuel H. Preston,Sex Mortality Differences in the United States: The Role of Cohort Smoking Patterns
618,10.2307/2061250,Demography,1983,James Trussell,Evaluation of the Olsen Technique for Estimating the Fertility Response to Child Mortality
619,10.2307/3401470,Population and Development Review,2004,Richard Suzman,Epilogue: Research on Population Aging at NIA: Retrospect and Prospect
620,10.2307/2061498,Demography,1989,Jere R. Behrman,A Test of the Easterlin Fertility Model Using Income for Two Generations and a Comparison With the Becker Model
621,10.2307/2060239,Demography,1970,Donald W. Helbig,IUD Retention in West Pakistan and Methodology of Assessment
622,10.2307/2174434,Population Studies,1988,A. Meredith John,Plantation Slave Mortality in Trinidad
623,10.2307/2172826,Population Studies,1966,Gertrude E. Huntington,A Note on Nursing Practices in an American Isolate with a High Birth Rate
624,10.2307/2061687,Demography,1995,Lynn A. Karoly,Demographic Change_ Rising Earnings Inequality_ and the Distribution of Personal Well-Being_ 1959-1989
625,10.2307/2060195,Demography,1968,Carl L. Harter,Male Fertility in New Orleans
626,10.2307/3004011,Demography,1998,Carol E. Kaufman,Contraceptive Use in South Africa under Apartheid
627,10.2307/2137436,Population and Development Review,1996,Wang Feng,Age at Marriage and the First Birth Interval: The Emerging Change in Sexual Behavior Among Young Couples in China
628,10.2307/2173528,Population Studies,1979,B. Berelson,Romania's 1966 Anti-Abortion Decree: The Demographic Experience of the First Decade
629,10.2307/4137254,Demography,2007,Jan E. Mutchler,The Demography of Disability and the Effects of Immigrant History: Older Asians in the United States
630,10.2307/40983119,Demography,2010,DANIELLA J. PERLROTH,THE POTENTIAL IMPACT OF COMPARATIVE EFFECTIVENESS RESEARCH ON U.S. HEALTH CARE EXPENDITURES
631,10.2307/2808064,Population and Development Review,1990,Kenneth W. Wachter,Comment: Reflections on "Time Left Us"
632,10.2307/3092922,Population Studies,2001,John E. Murray,Involuntary Childlessness and Voluntary Fertility Control during the Fertility Transition: Evidence from Men Who Graduated from an American College
633,10.2307/2173077,Population Studies,1971,Susan L. Norton,Population Growth in Colonial America: A Study of Ipswich_ Massachusetts
634,10.2307/2172241,Population Studies,1950,G. W. Roberts,A Note on Mortality in Jamaica
635,10.2307/2061913,Demography,1994,Eileen M. Crimmins,Changing Mortality and Morbidity Rates and the Health Status and Life Expectancy of the Older Population
636,10.2307/2060723,Demography,1975,N. Krishnan Namboodir,Reply to Rosenzweig and Seiver
637,10.2307/2175292,Population Studies,1992,Daniel C. Clay,Size of Farm or Size of Family: Which Comes First?
638,10.2307/25699061,Population and Development Review,2010,Joseph E. Potter,Mapping the Timing_ Pace_ and Scale of the Fertility Transition in Brazil
639,10.2307/172319,Population and Development Review,2000,Young J. Kim,On the Quantum and Tempo of Fertility: Limits to the Bongaarts-Feeney Adjustment
640,10.2307/2174684,Population Studies,1997,David K. Guilkey,Fertility Transition in Zimbabwe: Determinants of Contraceptive Use and Method Choice
641,10.2307/2137501,Population and Development Review,1995,,Bentham on Population and Government
642,10.2307/2173562,Population Studies,1978,Samuel H. Preston,Urban French Mortality in the Nineteenth Century
643,10.2307/25593686,Population and Development Review,2009,Geoffrey McNicoll,Legacy_ Policy_ and Circumstance in Fertility Transition
644,10.2307/1971528,Population and Development Review,1976,D. Gale Johnson,Food for the Future: A Perspective
645,10.2307/2172980,Population Studies,1966,Gosta Carlsson,The Decline of Fertility: Innovation or Adjustment Process
646,10.2307/1972689,Population and Development Review,1982,Leo F. Goodstadt,China's One-Child Family: Policy and Public Response
647,10.2307/2061350,Demography,1986,Phelim P. Boyle,Fertility Trends_ Excess Mortality_ and the Great Irish Famine
648,10.2307/2061739,Demography,1995,William A. V. Clark,Demographic Foundations of Political Empowerment in Multiminority Cities
649,10.2307/4137198,Demography,2006,Jungmin Lee,Sex Preferences and Fertility in South Korea during the Year of the Horse
650,10.2307/2174283,Population Studies,1986,Ruth M. Pickering,Pre-term Foetal Life Times in Scotland
651,10.2307/2137465,Population and Development Review,1997,F. W. Taussig,F. W. Taussig on Individualism and the Birth Rate
652,10.2307/2808093,Population and Development Review,1988,Jay M. Winter,Socialism_ Social Democracy_ and Population Questions in Western Europe: 1870-1950
653,10.2307/2172465,Population Studies,1955,B. Benjamin,Quality of Response in Census Taking
654,10.2307/30040471,Population Studies,2005,Stéphane Helleringer,Social Networks_ Perceptions of Risk_ and Changing Attitudes Towards HIV/AIDS: New Evidence from a Longitudinal Study Using Fixed-Effects Analysis
655,10.2307/1519700,Population and Development Review,2003,Rachel Murphy,Fertility and Distorted Sex Ratios in a Rural Chinese County: Culture_ State_ and Policy
656,10.2307/3038294,Demography,1997,Young J. Kim,Population Momentum Expresses Population Aging
657,10.2307/2173697,Population Studies,1980,Helena Chojnacka,Polygyny and the Rate of Population Growth
658,10.2307/2172188,Population Studies,1958,K. R. Gabriel,Estimates of Mortality from Infant Mortality Rates
659,10.2307/2648053,Demography,1999,Liliana E. Pezzin,Parental Marital Disruption and Intergenerational Transfers: An Analysis of Lone Elderly Parents and Their Children
660,10.2307/2173085,Population Studies,1971,Ansley J. Coale,Erratum: Age Patterns of Marriage
661,10.2307/2938417,Population and Development Review,1993,John C. Caldwell,The Nature and Limits of the sub-Saharan African AIDS Epidemic: Evidence from Geographic and Other Patterns
662,10.2307/20058923,Population and Development Review,2006,Ron J. Lesthaeghe,The Second Demographic Transition in the United States: Exception or Textbook Example?
663,10.2307/3401412,Population and Development Review,2004,Hendrik P. van Dalen,Demographers and Their Journals: Who Remains Uncited after Ten Years?
664,10.2307/2061567,Demography,1990,Frank L. Mott,When Is a Father Really Gone? Paternal--Child Contact in Father-Absent Homes
665,10.2307/1972616,Population and Development Review,1989,[Gro Harlem Brundtland],For Global Cooperation on Environmental Problems
666,10.2307/3115250,Population and Development Review,2001,John Cleland,The Effects of Improved Survival on Fertility: A Reassessment
667,10.2307/2061791,Demography,1994,Nan Marie Astone,Family Structure_ Residential Mobility_ and School Dropout: A Research Note
668,10.2307/2173774,Population Studies,1973,Ronald Freedman,A Comment on `Social and Economic Factors in Hong Kong's Fertility Decline' by Sui-Ying Wat and R. W. Hodge
669,10.2307/2173371,Population Studies,1977,R. Jiobu,Minority Status and Family Size: A Comparison of Explanations
670,10.2307/2061335,Demography,1991,Nancy A. Denton,Patterns of Neighborhood Transition in a Multiethnic World: U.S. Metropolitan Areas_ 1970-1980
671,10.2307/2172125,Population Studies,1948,J. Hajnal,The Estimation of Total Family Size of Occupation Groups from the Distribution of Births by Order and Duration of Marriage
672,10.2307/2174029,Population Studies,1985,H. E. Hallam,Age at First Marriage and Age at Death in the Lincolnshire Fenland_ 1252- 1478
673,10.2307/2061485,Demography,1988,Arline T. Geronimus,Comment on Pampel and Pillai's "Patterns and Determinants of Infant Mortality in Developed Nations_ 1950-1975"
674,10.2307/1972270,Population and Development Review,1975,Robert Cassen,Welfare and Population: Notes on Rural India since 1960
675,10.2307/2808081,Population and Development Review,1990,David Pimentel,Comment: Adverse Environmental Consequences of the Green Revolution
676,10.2307/2173080,Population Studies,1971,Robert Edward Mitchell,Changes in Fertility Rates and Family Size in Response to Changes in Age at Marriage_ the Trend Away from Arranged Marriages_ and Increasing Urbanization
677,10.2307/2060398,Demography,1969,N. Krishnan Namboodiri,On the Dependence of Age Structure on a Sequence of Mortality and Fertility Schedules: An Exposition of a Cyclical Model of Population Change
678,10.2307/3115267,Population and Development Review,2002,James C. Cramer,Population Growth and Local Air Pollution: Methods_ Models_ and Results
679,10.2307/2173108,Population Studies,1964,,Appendix 2: Quality of the Raw Data
